mol_id,c_aryl_idx,c_ox_idx,n_ox_idx,o_ox_idx,c_allyl_idx,Emin_E_eV,Emin_Z_eV,delta_E_Z_E_kcal,lowest_isomer,dihedral_O_N_C_aryl,dihedral_O_N_C_allyl,anti_group,beckmann_pred,exp_pct_A,exp_pct_B,exp_outcome,agreement,notes
mol_001,11,3,2,1,4,-13018.059741,-13017.991343,1.58,E,180.0,0.1,aryl,R,33,67,F,no,
mol_002,6,11,12,13,10,-16133.313943,-16133.291852,0.51,E,179.9,0.1,aryl,R,0,100,F,no,
mol_003,12,3,2,1,4,-15717.591411,-15717.528323,1.45,E,179.7,0.1,aryl,R,16,84,F,no,
mol_004,12,3,2,1,4,-25522.873970,-25522.811114,1.45,E,179.9,0.1,aryl,R,17,83,F,no,
mol_005,12,3,2,1,4,-83073.277765,-83073.214725,1.45,E,179.9,0.2,aryl,R,12,88,F,no,
mol_006,5,10,11,12,9,-14087.514867,-14087.461562,1.23,E,179.7,0.2,aryl,R,73,27,R,yes,
mol_007,15,3,2,1,4,-22186.376871,-22186.313686,1.46,E,179.8,0.0,aryl,R,0,100,F,no,
mol_008,7,12,13,14,11,-18580.588347,-18580.523579,1.49,E,179.7,0.1,aryl,R,0,100,F,no,
mol_009,6,8,9,10,11,-14087.472669,-14087.419803,1.22,E,179.9,0.1,aryl,R,56,44,R,yes,
mol_010,7,9,10,11,12,-16133.169827,-16133.135476,0.79,E,179.9,0.0,aryl,R,0,100,F,no,
mol_011,12,3,2,1,4,-15717.513789,-15717.448033,1.52,E,179.9,0.0,aryl,R,0,100,F,no,
mol_012,8,10,11,12,13,-18580.658732,-18580.618039,0.94,E,179.9,0.0,aryl,R,0,100,F,no,
mol_013,7,8,9,10,11,-14087.458430,-14087.241114,5.01,E,179.9,0.1,aryl,R,56,44,R,yes,
mol_014,12,3,2,1,4,-15717.510670,-15717.566796,-1.29,Z,10.0,167.9,allyl,F,0,100,F,yes,
mol_015,6,10,11,12,9,-14087.509213,-14087.457127,1.20,E,179.9,0.1,aryl,R,59,41,R,yes,
mol_016,7,11,12,13,10,-16133.239314,-16133.195251,1.02,E,179.9,0.1,aryl,R,18,82,F,no,
mol_017,12,3,2,1,4,-15717.527978,-15717.454272,1.70,E,179.9,0.1,aryl,R,0,100,F,no,
mol_018,8,12,13,14,11,-18580.665846,-18580.567813,2.26,E,179.9,0.0,aryl,R,0,100,F,no,
mol_019,12,3,2,1,4,-14087.433701,-14087.353190,1.86,E,176.5,2.1,aryl,R,100,0,R,yes,
mol_020,5,11,12,13,10,-15156.906304,-15156.836085,1.62,E,176.4,2.4,aryl,R,97,3,R,yes,
mol_021,6,12,13,14,11,-17202.725497,-17202.665295,1.39,E,176.2,2.7,aryl,R,68,32,R,yes,
mol_022,13,3,2,1,4,-16786.983860,-16786.898104,1.98,E,176.4,2.3,aryl,R,100,0,R,yes,
mol_023,7,13,14,15,12,-19649.997570,-19649.927214,1.62,E,176.6,1.9,aryl,R,100,0,R,yes,
mol_024,6,8,9,10,11,-15156.870055,-15156.755589,2.64,E,176.3,2.4,aryl,R,100,0,R,yes,
mol_025,7,9,10,11,12,-17202.561569,-17202.474352,2.01,E,176.1,2.5,aryl,R,100,0,R,yes,
mol_026,13,3,2,1,4,-16786.909152,-16786.773855,3.12,E,176.6,2.2,aryl,R,100,0,R,yes,
mol_027,8,10,11,12,13,-19650.091368,-19649.972127,2.75,E,176.7,1.9,aryl,R,98,2,R,yes,
mol_028,7,8,9,10,11,-15156.717086,-15156.661477,1.28,E,176.7,0.5,aryl,R,99,1,R,yes,
mol_029,13,3,2,1,4,-16786.851658,-16786.939371,-2.02,Z,10.0,168.5,allyl,F,100,0,R,no,
mol_030,7,12,13,14,11,-17202.612239,-17202.537849,1.72,E,175.7,2.4,aryl,R,98,2,R,yes,
mol_031,13,3,2,1,4,-16786.924117,-16786.849716,1.72,E,176.4,2.2,aryl,R,96,4,R,yes,
mol_032,13,3,2,1,4,-84142.683887,-84142.588303,2.20,E,176.5,2.4,aryl,R,100,0,R,yes,
mol_033,13,3,2,1,4,-26592.273143,-26592.185975,2.01,E,176.5,2.3,aryl,R,100,0,R,yes,
mol_034,6,11,12,13,10,-15156.836961,-15156.801434,0.82,E,176.4,2.1,aryl,R,100,0,R,yes,
