mol,point,R,bond_order_aryl,bond_order_alkyl
mol_001_E,scan_1,1.5596,1.0602,1.0194
mol_001_E,scan_2,1.6096,1.0546,1.0168
mol_001_E,scan_3,1.6596,1.0485,1.0136
mol_001_E,scan_4,1.7096,1.0419,1.0098
mol_001_E,scan_5,1.7596,1.0349,1.0054
mol_001_E,scan_6,1.8096,1.0273,1.0005
mol_002_E,nbo,1.5092,1.0882,1.0196
mol_002_E,scan_1,1.5592,1.0833,1.0174
mol_002_E,scan_2,1.6092,1.0779,1.0147
mol_002_E,scan_3,1.6592,1.0719,1.0115
mol_002_E,scan_4,1.7092,1.0659,1.0077
mol_002_E,scan_5,1.7592,1.0599,1.0032
mol_002_E,scan_6,1.8092,1.0533,0.9983
mol_003_E,scan_1,1.5478,1.0658,1.0196
mol_003_E,scan_2,1.5878,1.0616,1.0177
mol_003_E,scan_3,1.6278,1.0572,1.0154
mol_003_E,scan_4,1.6678,1.0524,1.0128
mol_003_E,scan_5,1.7078,1.0474,1.0097
mol_003_E,scan_6,1.7478,1.0421,1.0063
mol_004_E,scan_1,1.557,1.0591,1.0198
mol_004_E,scan_2,1.607,1.0537,1.0172
mol_004_E,scan_3,1.657,1.0478,1.0141
mol_004_E,scan_4,1.707,1.0414,1.0104
mol_004_E,scan_5,1.757,1.0346,1.0061
mol_004_E,scan_6,1.807,1.0279,1.0011
mol_005_E,scan_1,1.5569,1.058,1.0199
mol_005_E,scan_2,1.6069,1.0525,1.0173
mol_005_E,scan_3,1.6569,1.0466,1.0142
mol_005_E,scan_4,1.7069,1.0401,1.0105
mol_005_E,scan_5,1.7569,1.0333,1.0062
mol_005_E,scan_6,1.8069,1.0268,1.0012
mol_006_E,nbo,1.5108,1.0746,1.0203
mol_006_E,scan_1,1.5608,1.0695,1.0182
mol_006_E,scan_2,1.6108,1.0639,1.0156
mol_006_E,scan_3,1.6608,1.0578,1.0124
mol_006_E,scan_4,1.7108,1.0513,1.0086
mol_006_E,scan_5,1.7608,1.0459,1.0039
mol_006_E,scan_6,1.8108,1.0374,0.9992
mol_007_E,scan_1,1.5558,1.0485,1.021
mol_007_E,scan_2,1.6058,1.0429,1.0185
mol_007_E,scan_3,1.6558,1.0368,1.0154
mol_007_E,scan_4,1.7058,1.0301,1.0117
mol_007_E,scan_5,1.7558,1.023,1.0074
mol_007_E,scan_6,1.8058,1.0164,1.0024
mol_008_E,scan_1,1.5477,1.0435,1.0227
