mol,stage,r_no,c_aryl,c_alkyl,k_anti,k_frag,psi,log_lambda,wcnmax,w17max,w78max
mol_002_E,nbo,1.5092,6,10,9.16,15.310000000000002,0.5983017244740871,-0.2203844500325235,0.43560000000000004,0.172225,0.10368400000000001
mol_002_E,scan_1,1.5092,6,10,9.16,15.310000000000002,0.5983017244740871,-0.2203844500325235,0.43560000000000004,0.172225,0.10368400000000001
mol_002_E,scan_2,1.9092,6,10,21.03,13.799999999999999,1.5239129330497878,-0.05605744720048697,0.44355600000000006,0.12390399999999999,0.10890000000000001
mol_002_E,sp2,1.6092,6,10,11.92,15.030000000000001,0.7930804528888588,0.05716463532211534,0.438244,0.08643599999999999,0.098596
mol_002_E,sp3,1.7092,6,10,14.97,14.800000000000002,1.0114864181428096,0.07453876067031226,0.43956900000000004,0.07784100000000002,0.092416
mol_002_E,sp4,1.8092,6,10,17.94,14.030000000000001,1.278688433450575,-0.07099836070755712,0.44222500000000003,0.11833599999999998,0.10048900000000001
mol_006_E,nbo,1.5108,5,9,9.53,15.399999999999999,0.6188311286473294,-0.18693553319407827,0.42250000000000004,0.142129,0.092416
mol_006_E,scan_1,1.5108,5,9,9.53,15.399999999999999,0.6188311286473294,-0.18693553319407827,0.42250000000000004,0.142129,0.092416
mol_006_E,scan_2,1.9108,5,9,21.84,13.82,1.5803182648105454,-0.08331515927084777,0.43033600000000005,0.10758400000000001,0.088804
mol_006_E,sp2,1.6108,5,9,12.26,15.05,0.8146178860719012,-0.02935603091162552,0.42640900000000004,0.109561,0.1024
mol_006_E,sp3,1.7108,5,9,15.34,14.8,1.0364864164536205,-0.024316675700375018,0.42771600000000004,0.10627600000000001,0.10048900000000001
mol_006_E,sp4,1.8108,5,9,18.45,14.0,1.3178570487244965,-0.09354609036378053,0.42902500000000005,0.11088900000000002,0.089401
mol_020_E,nbo,1.5029,5,10,9.9,16.950000000000003,0.5840707620017248,-0.29058329478976075,0.45024100000000006,0.172225,0.088209
mol_020_E,sp2,1.6029,5,10,12.75,16.7,0.763473008175269,-0.4702320229422717,0.43428100000000003,0.17724099999999998,0.060024999999999995
mol_020_E,sp3,1.7029,5,10,16.07,17.08,0.9408664554527837,-0.44884852375110507,0.405769,0.203401,0.07236100000000001
mol_020_E,sp4,1.8029,5,10,19.81,17.03,1.1632412705084396,-0.3753462632109929,0.45024100000000006,0.207936,0.08761599999999999
mol_020_E,sp5_1,1.9029,5,10,0.0,0.0,0.0,-0.35795389458633886,0.45968400000000004,0.205209,0.09
mol_020_E,sp5_2,1.9029,5,10,0.0,0.0,0.0,-0.4168827128771348,0.45832900000000004,0.16321600000000003,0.0625
mol_021_E,nbo,1.5033,6,11,9.68,17.049999999999997,0.5677419021852257,-0.07396713250634,0.46922500000000006,0.11764900000000002,0.09922500000000001
mol_021_E,scan_1,1.5033,6,11,9.68,17.049999999999997,0.5677419021852257,-0.07396713250634,0.46922500000000006,0.11764900000000002,0.09922500000000001
mol_021_E,scan_2,1.9033,6,11,23.56,17.14,1.3745623468750088,-0.14800146708768902,0.4760999999999999,0.09,0.064009
mol_021_E,sp2,1.6033,6,11,12.41,16.740000000000002,0.7413380680204259,0.034377870682028654,0.45562500000000006,0.10368400000000001,0.11222500000000002
mol_021_E,sp3,1.7033,6,11,15.67,17.07,0.9179847148222193,0.05587707362205754,0.44622400000000007,0.09060099999999999,0.10304100000000001
mol_021_E,sp4,1.8033,6,11,19.25,17.06,1.1283703910685585,-0.07370545020751444,0.46922500000000006,0.08702499999999999,0.073441
