mol,stage,r_no,lambda,log_lambda,w17max,w17max_mo,w17max_delta_lumo,w17max_in_window,w78max,w78max_mo,w78max_delta_lumo,w78max_in_window,wcnmax,wcnmax_mo,wcnmax_delta_lumo,wcnmax_in_window,max_leading_weight,max_leading_weight_mo,n_virtual_mos_in_window
mol_002_E,nbo,1.5092,0.6020264189287271,-0.2203844500325235,0.172225,124,0.5013,False,0.10368400000000001,118,0.43789,False,0.43560000000000004,48,0.0,True,0.45697600000000005,50,66
mol_002_E,scan_1,1.5592,0.6391982462421718,-0.19436442525913422,0.159201,124,0.50095,False,0.101761,118,0.43824,False,0.43692100000000006,48,0.0,True,0.6806249999999999,49,66
mol_002_E,scan_2,1.6092,0.7957450929752067,-0.09922603080983214,0.12390399999999999,124,0.50106,False,0.098596,118,0.43856,False,0.438244,48,0.0,True,0.7744,49,66
mol_002_E,scan_3,1.6592,1.0130717567295144,0.005640207895296344,0.094249,124,0.50427,False,0.095481,118,0.44171,False,0.42250000000000004,49,0.00301,True,0.786769,48,66
mol_002_E,scan_4,1.7092,0.9741946365322988,-0.011354265783381086,0.094864,124,0.52084,False,0.092416,118,0.45798,False,0.43956900000000004,49,0.01886,True,0.835396,48,64
mol_002_E,scan_5,1.7592,0.7901234567901233,-0.10230504489476266,0.11696400000000001,122,0.52598,False,0.092416,84,0.28544,True,0.44089600000000007,49,0.03312,True,0.8445610000000001,48,61
mol_002_E,scan_6,1.8092,0.774792250215315,-0.11081473191983063,0.128881,122,0.53921,False,0.099856,84,0.29843,True,0.44222500000000003,49,0.0459,True,0.8500840000000001,48,58
mol_006_E,nbo,1.5108,0.650226202956469,-0.18693553319407827,0.142129,115,0.49942,False,0.092416,104,0.38105,True,0.42250000000000004,44,0.0,True,0.47748099999999993,46,63
mol_006_E,scan_1,1.5608,0.8587473447940762,-0.0661345927481879,0.11628100000000002,115,0.50039,False,0.099856,104,0.38059,True,0.42380100000000004,44,0.0,True,0.6889,45,63
mol_006_E,scan_2,1.6108,0.9290172739149367,-0.0319762107682607,0.11022400000000002,115,0.50117,False,0.1024,104,0.38034,True,0.42640900000000004,44,0.0,True,0.7779240000000001,45,63
mol_006_E,scan_3,1.6608,0.9815104141705566,-0.008105088022393821,0.104329,115,0.50204,False,0.1024,104,0.38044,True,0.32604099999999997,45,0.00037,True,0.625681,44,63
mol_006_E,scan_4,1.7108,0.939773120481815,-0.02697698088506915,0.10692900000000001,112,0.49745,False,0.10048900000000001,104,0.39631,True,0.42771600000000004,45,0.01631,True,0.8372250000000001,44,61
mol_006_E,scan_5,1.7608,0.792469776083262,-0.10101729230335248,0.11356900000000002,114,0.52604,False,0.09,111,0.47773,False,0.42771600000000004,45,0.03085,True,0.8445610000000001,44,58
mol_006_E,scan_6,1.8108,0.9305114711386359,-0.03127826861435014,0.096721,112,0.52327,False,0.09,111,0.49094,False,0.42902500000000005,45,0.04369,True,0.848241,44,56
mol_014_Z,nbo,1.5034,0.98591566881844,-0.006160231238420481,0.08008899999999998,93,0.34015,True,0.07896100000000002,108,0.4603,False,0.42120100000000005,44,0.0,True,0.45158400000000004,46,59
mol_014_Z,scan_1,1.5534,0.9135198297005881,-0.03928202101415462,0.08643599999999999,93,0.34018,True,0.07896100000000002,108,0.45912,False,0.42120100000000005,44,0.0,True,0.695556,45,59
mol_014_Z,scan_2,1.6034,0.8649000000000002,-0.06303410289212966,0.09,93,0.34028,True,0.07784100000000002,107,0.4581,False,0.419904,44,0.0,True,0.772641,45,59
mol_014_Z,scan_3,1.6534,0.8297225762180179,-0.08106709287417456,0.091809,93,0.34073,True,0.07617600000000001,107,0.45762,False,0.395641,44,0.0,True,0.748225,45,59
mol_014_Z,scan_4,1.7034,0.8357459508327072,-0.07792571887571283,0.091809,93,0.34759,True,0.07672900000000002,107,0.46336,False,0.36,45,0.00894,True,0.724201,44,58
