mol,n_points,r_values,d_psi_dR,psi_values,d_log_lambda_dR,log_lambda_values,d_wcnmax_dR,wcnmax_values,d_w17max_dR,w17max_values,d_w78max_dR,w78max_values
mol_001_E,6,"[1.5596, 1.6096, 1.6596, 1.7096, 1.7596, 1.8096]",2.207567081204038,"[0.6944971097724789, 0.795892118363792, 0.9025340544162408, 1.0131146876646107, 1.1264821392304256, 1.2466754490242384]",0.8186876212575218,"[-0.32977236178468816, -0.3172010537906916, -0.31348618752108276, -0.3106522895298698, -0.3018715455362835, -0.05299617889544298]",0.02517600000000011,"[0.417316, 0.418609, 0.41473600000000005, 0.42120100000000005, 0.42250000000000004, 0.42250000000000004]",-0.26173657142857143,"[0.1936, 0.191844, 0.192721, 0.192721, 0.190096, 0.10304100000000001]",0.006269714285714307,"[0.09060099999999999, 0.092416, 0.093636, 0.094249, 0.094864, 0.091204]"
mol_002_E,7,"[1.5092, 1.5592, 1.6092, 1.6592, 1.7092, 1.7592, 1.8092]",2.0183322352142614,"[0.5983017244740871, 0.6668789384153543, 0.7645926385764825, 0.8711139332180095, 0.9803406959147645, 1.0816325818543395, 1.1917716528353248]",0.42907120006662347,"[-0.2203844500325235, -0.19436442525913422, -0.09922603080983214, 0.005640207895296344, -0.011354265783381086, -0.10230504489476266, -0.11081473191983063]",0.02082142857142858,"[0.43560000000000004, 0.43692100000000006, 0.438244, 0.42250000000000004, 0.43956900000000004, 0.44089600000000007, 0.44222500000000003]",-0.17396142857142863,"[0.172225, 0.159201, 0.12390399999999999, 0.094249, 0.094864, 0.11696400000000001, 0.128881]",-0.025967142857142907,"[0.10368400000000001, 0.101761, 0.098596, 0.095481, 0.092416, 0.092416, 0.099856]"
mol_003_E,6,"[1.5478, 1.5878, 1.6278, 1.6678, 1.7078, 1.7478]",2.0940273896442796,"[0.6620075818292516, 0.7371794399243948, 0.8190660947427955, 0.9055737111099206, 0.9920791424370203, 1.0780939061486494]",-0.4513619459332958,"[0.06300687397117877, 0.04136919771970194, 0.023027271069369637, 0.005064673030790092, -0.012570247807620737, -0.02741828396603452]",0.022310000000000125,"[0.419904, 0.42120100000000005, 0.42250000000000004, 0.41602500000000003, 0.42510400000000004, 0.42510400000000004]",0.11648142857142847,"[0.101761, 0.10758400000000001, 0.11222500000000002, 0.11696400000000001, 0.12110399999999999, 0.12531599999999998]",-0.001472142857142785,"[0.11764900000000002, 0.11833599999999998, 0.11833599999999998, 0.11833599999999998, 0.11764900000000002, 0.11764900000000002]"
mol_004_E,6,"[1.557, 1.607, 1.657, 1.707, 1.757, 1.807]",2.152923731559121,"[0.6804319771008909, 0.7786357285305193, 0.8851923753951483, 0.9960473652142711, 1.104221563046071, 1.2164327844734277]",0.6455874845772528,"[-0.19334395641592067, -0.19287022935087914, -0.18807410232465227, -0.18170561815054737, -0.1736365463127857, 0.019797756528440784]",0.01940857142857141,"[0.393129, 0.394384, 0.394384, 0.395641, 0.39690000000000003, 0.398161]",-0.28581314285714293,"[0.207936, 0.208849, 0.204304, 0.198025, 0.190096, 0.12040899999999999]",-0.032969142857142836,"[0.13322499999999998, 0.133956, 0.132496, 0.130321, 0.12744899999999998, 0.126025]"
mol_005_E,6,"[1.5569, 1.6069, 1.6569, 1.7069, 1.7569, 1.8069]",2.154119952383904,"[0.681269798014616, 0.7804249336493925, 0.8864970067516629, 0.99868154260504, 1.107661749824191, 1.2164327844734277]",0.48525363010222566,"[-0.19132765999091492, -0.15794995873968842, -0.11936063565369215, -0.0818926785998399, -0.05251312467979261, -0.0922445813018439]",0.01925542857142856,"[0.386884, 0.388129, 0.389376, 0.390625, 0.390625, 0.391876]",-0.1603611428571428,"[0.189225, 0.17724099999999998, 0.16402500000000003, 0.151321, 0.140625, 0.15760900000000003]",0.018954857142857138,"[0.12180099999999998, 0.12320099999999999, 0.12460899999999998, 0.12531599999999998, 0.12460899999999998, 0.12744899999999998]"
mol_006_E,7,"[1.5108, 1.5608, 1.6108, 1.6608, 1.7108, 1.7608, 1.8108]",2.066186119899496,"[0.6188311286473294, 0.6856060173228523, 0.78603454285493, 0.8940870114303435, 1.0039292073392792, 1.1051586570662264, 1.2307180032767284]",0.2872897317943194,"[-0.18693553319407827, -0.0661345927481879, -0.0319762107682607, -0.008105088022393821, -0.02697698088506915, -0.10101729230335248, -0.03127826861435014]",0.020508571428571352,"[0.42250000000000004, 0.42380100000000004, 0.42640900000000004, 0.32604099999999997, 0.42771600000000004, 0.42771600000000004, 0.42902500000000005]",-0.10353071428571434,"[0.142129, 0.11628100000000002, 0.11022400000000002, 0.104329, 0.10692900000000001, 0.11356900000000002, 0.096721]",-0.02062214285714284,"[0.092416, 0.099856, 0.1024, 0.1024, 0.10048900000000001, 0.09, 0.09]"
mol_007_E,6,"[1.5558, 1.6058, 1.6558, 1.7058, 1.7558, 1.8058]",2.1882975933680067,"[0.6778268681094841, 0.7737411871420531, 0.8841423375959653, 0.9980391504549575, 1.1086386709006106, 1.2200131729613537]",-0.5859558886595602,"[0.06521020801253943, 0.07457816943889553, 0.06629267929498478, 0.05230543720297641, 0.04680399318047607, -0.12041239884485325]",0.020782857142857172,"[0.364816, 0.366025, 0.367236, 0.36844899999999997, 0.369664, 0.369664]",0.02316742857142858,"[0.08702499999999999, 0.0841, 0.0841, 0.0841, 0.08352099999999998, 0.095481]",-0.09566457142857142,"[0.101124, 0.099856, 0.097969, 0.094864, 0.093025, 0.07236100000000001]"
mol_008_E,6,"[1.5477, 1.5977, 1.6477, 1.6977, 1.7477, 1.7977]",2.103359496060701,"[0.6834394469146848, 0.7772756115380495, 0.8770437621292503, 0.9808832576873265, 1.09289972840745, 1.2094729013026748]",-0.4881172148298961,"[-0.1032926390475561, -0.12410655781248507, -0.145314773041093, -0.16154330796838018, -0.2575709598642908, -0.1908093160214789]",0.02601142857142842,"[0.32376099999999997, 0.31809599999999993, 0.32489999999999997, 0.32604099999999997, 0.3271839999999999, 0.3271839999999999]",0.09606514285714278,"[0.10890000000000001, 0.12460899999999998, 0.1369, 0.146689, 0.142884, 0.1296]",-0.03000571428571431,"[0.085849, 0.093636, 0.097969, 0.101124, 0.07896100000000002, 0.08352099999999998]"
mol_009_E,6,"[1.5603, 1.6103, 1.6603, 1.7103, 1.7603, 1.8103]",2.2883609388667687,"[0.6889030988516293, 0.792477250812111, 0.9055117516068405, 1.0204754940240754, 1.1374501236752905, 1.2598529552536435]",-0.2939371454242644,"[-0.14331437621017826, -0.21542466926757853, -0.24524498776223821, -0.25283689333269566, -0.2434034882357547, -0.2278867046136736]",0.03309999999999978,"[0.41473600000000005, 0.41602500000000003, 0.398161, 0.418609, 0.419904, 0.419904]",0.269533142857143,"[0.095481, 0.11971599999999999, 0.139876, 0.15366400000000002, 0.16080100000000003, 0.16240900000000003]",0.11447542857142856,"[0.06864400000000001, 0.0729, 0.07952399999999998, 0.085849, 0.091809, 0.0961]"
mol_010_E,6,"[1.5598, 1.6098, 1.6598, 1.7098, 1.7598, 1.8098]",2.2185523026553704,"[0.6856060173228523, 0.7866751578042819, 0.8942930678149761, 1.0065487225573855, 1.1181877138419098, 1.2407406586811736]",0.4928639356913638,"[-0.22319277100795834, -0.1766196824922777, -0.03721048903412068, -0.060927702155449744, -0.08502256141495292, -0.10090522353810993]",0.021982857142857203,"[0.408321, 0.4096, 0.410881, 0.41216400000000003, 0.413449, 0.413449]",-0.2716525714285712,"[0.164836, 0.140625, 0.0961, 0.0961, 0.096721, 0.0961]",-0.090928,"[0.098596, 0.093636, 0.088209, 0.08352099999999998, 0.07952399999999998, 0.07617600000000001]"
