mol_id,lowest_energy_isomer,other_isomer,prediction_lowest_energy,prediction_other_isomer,pct_product_A,pct_product_B
mol_001,E,Z,R,F,33.0,67.0
mol_002,E,Z,R,R,0.0,100.0
mol_003,E,Z,R,F,16.0,84.0
mol_008,E,Z,R,R,0.0,100.0
mol_012,E,Z,R,R,0.0,100.0
mol_014,Z,E,R,F,0.0,100.0
mol_016,E,Z,R,R,18.0,82.0
mol_018,E,Z,R,F,0.0,100.0
mol_015,E,Z,F,R,59.0,41.0
mol_004,E,Z,F,pending,17.0,83.0
mol_005,E,Z,F,R,12.0,88.0
mol_006,E,Z,R,pending,73.0,27.0
mol_007,E,Z,F,pending,0.0,100.0
mol_009,E,Z,R,pending,56.0,44.0
mol_010,E,Z,F,pending,0.0,100.0
mol_011,E,Z,F,R,0.0,100.0
mol_013,E,Z,R,R,56.0,44.0
mol_017,E,Z,F,pending,0.0,100.0
mol_019,E,Z,R,pending,100.0,0.0
mol_020,E,Z,R,pending,97.0,3.0
mol_021,E,Z,R,pending,68.0,32.0
mol_022,E,Z,R,pending,100.0,0.0
mol_023,E,Z,R,pending,100.0,0.0
mol_024,E,Z,R,pending,100.0,0.0
mol_025,E,Z,R,pending,100.0,0.0
mol_026,E,Z,R,pending,100.0,0.0
