mol_id,lowest_energy_isomer,other_isomer,prediction_lowest_energy,prediction_other_isomer,pct_product_A,pct_product_B
mol_001,E,Z,R,R,33.0,67.0
mol_002,E,Z,R,R,0.0,100.0
mol_003,E,Z,R,R,16.0,84.0
mol_008,E,Z,R,F,0.0,100.0
mol_012,E,Z,R,R,0.0,100.0
mol_014,Z,E,R,R,0.0,100.0
mol_016,E,Z,F,R,18.0,82.0
mol_018,E,Z,F,R,0.0,100.0
mol_015,E,Z,F,R,59.0,41.0
mol_004,E,Z,F,R,17.0,83.0
mol_005,E,Z,R,R,12.0,88.0
mol_006,E,Z,F,R,73.0,27.0
mol_007,E,Z,F,R,0.0,100.0
mol_009,E,Z,R,R,56.0,44.0
mol_010,E,Z,F,R,0.0,100.0
mol_011,E,Z,R,R,0.0,100.0
mol_013,E,Z,F,R,56.0,44.0
mol_017,E,Z,F,R,0.0,100.0
mol_019,E,Z,R,R,100.0,0.0
mol_020,E,Z,R,R,97.0,3.0
mol_021,E,Z,R,R,68.0,32.0
mol_022,E,Z,R,R,100.0,0.0
mol_023,E,Z,F,R,100.0,0.0
mol_024,E,Z,R,F,100.0,0.0
mol_025,E,Z,R,R,100.0,0.0
mol_026,E,Z,R,R,100.0,0.0
mol_027,E,Z,R,R,98.0,2.0
mol_028,E,Z,R,R,99.0,1.0
mol_029,Z,E,R,R,100.0,0.0
mol_030,E,Z,R,R,98.0,2.0
mol_031,E,Z,R,R,96.0,4.0
mol_032,E,Z,R,R,100.0,0.0
mol_033,E,Z,R,R,100.0,0.0
mol_034,E,Z,R,R,100.0,0.0
