mol_id,E_energy_eV,Z_energy_eV,diff_eV
mol_004,-25522.87397,-25522.811114,-0.06285600000046543
mol_005,-83073.277765,-83073.214725,-0.06304000000818633
mol_006,-14087.514867,-14087.461562,-0.053304999999454594
mol_007,-22186.376871,-22186.313686,-0.06318499999906635
mol_009,-14087.472669,-14087.419803,-0.05286599999999453
mol_010,-16133.169827,-16133.135476,-0.03435100000024249
mol_011,-15717.513789,-15717.448033,-0.06575599999996484
mol_013,-14087.45843,-14087.241114,-0.2173160000002099
mol_017,-15717.527978,-15717.454272,-0.07370599999921978
mol_019,-14087.433701,-14087.35319,-0.08051100000011502
mol_020,-15156.906304,-15156.836085,-0.07021899999926973
mol_021,-17202.725497,-17202.665295,-0.0602020000005723
mol_022,-16786.98386,-16786.898104,-0.0857560000004014
mol_023,-19649.99757,-19649.927214,-0.07035600000017439
mol_024,-15156.870055,-15156.755589,-0.11446599999908358
mol_025,-17202.561569,-17202.474352,-0.08721700000023702
mol_026,-16786.909152,-16786.773855,-0.13529700000071898
mol_027,-19650.091368,-19649.972127,-0.11924100000032922
mol_028,-15156.717086,-15156.661477,-0.05560900000091351
mol_029,-16786.851658,-16786.939371,0.08771300000080373
mol_030,-17202.612239,-17202.537849,-0.0743899999979476
mol_031,-16786.924117,-16786.849716,-0.07440099999803351
mol_032,-84142.683887,-84142.588303,-0.09558400000969414
mol_033,-26592.273143,-26592.185975,-0.08716799999820068
mol_034,-15156.836961,-15156.801434,-0.03552700000000186
