mol,exp_outcome,nbo7_R_star,nbo7_depth,nbo7_predicted,gaussian_pyscf_R_star,gaussian_pyscf_depth,gaussian_pyscf_predicted,aimnet_pyscf_R_star,aimnet_pyscf_depth,aimnet_pyscf_predicted,aimnet_pyscf_no_minimum,aimnet_pyscf_near_edge,aimnet_vs_nbo7_R_star_diff,all_three_agree,nbo7_correct,gaussian_pyscf_correct,aimnet_pyscf_correct
mol_001_E,F,1.6596,0.0052,R,1.6596,0.0091,R,1.6499999999999997,0.02342048908255029,R,False,False,0.009600000000000275,True,False,False,False
mol_002_E,F,1.6592,0.0164,R,1.6592,0.0019,R,1.6563105268284664,0.004862828202338021,R,False,False,0.002889473171533652,True,False,False,False
mol_003_E,F,1.6678,0.0078,R,1.6278,0.0006,R,1.6499999999999997,0.13967089241021974,R,False,False,0.01780000000000026,True,False,False,False
mol_004_E,F,,,F,,,F,1.6134430432366549,0.009917573401055646,R,False,False,,False,True,True,False
mol_005_E,F,,,F,1.6569,0.0467,R,1.6150279770124,0.012413340685623053,R,False,False,,False,True,False,False
mol_006_E,R,1.6608,0.101,R,,,F,1.6537558341876817,0.00904755490328868,R,False,False,0.00704416581231837,False,True,False,True
mol_007_E,F,,,F,,,F,1.5770252110259153,0.006964643362332712,R,False,False,,False,True,True,False
mol_008_E,F,1.5977,0.0062,R,1.7477,0.1366,R,,,F,True,False,,False,False,False,True
mol_009_E,R,1.6603,0.0192,R,1.6603,0.012,R,1.6548896179391177,0.02815387297172095,R,False,False,0.005410382060882402,True,True,True,True
mol_010_E,F,,,F,,,F,,,F,True,False,,True,True,True,True
mol_011_E,F,,,F,1.6567,0.0616,R,1.6128871929597128,0.0029153967458915298,R,False,False,,False,True,False,False
mol_012_E,F,1.6989,0.0031,R,1.6489,0.0491,R,1.6106139371109165,0.00566422905179087,R,False,False,0.08828606288908358,True,False,False,False
mol_013_E,R,1.6664,0.0065,R,,,F,1.6549827866703994,0.005931569016575322,R,False,False,0.011417213329600662,False,True,False,True
mol_014_Z,F,1.7034,0.0439,R,1.6534,0.0972,R,1.702239769365242,0.05864350065863866,R,False,False,0.0011602306347580083,True,False,False,False
mol_015_E,R,,,F,,,F,1.6567580058672593,0.0025030759315822215,R,False,False,,False,False,False,True
mol_016_E,F,1.6573,0.1435,R,,,F,1.7499999999999998,0.004688699837533283,R,False,False,0.09269999999999978,False,False,True,False
mol_017_E,F,,,F,,,F,1.6541449913900121,0.026250944012849442,R,False,False,,False,True,True,False
mol_018_E,F,1.648,0.0331,R,,,F,,,F,True,False,,False,False,True,True
mol_019_E,R,1.6505,0.0928,R,1.6505,0.1105,R,1.659910961170625,0.16302505293416997,R,False,False,0.00941096117062501,True,True,True,True
mol_020_E,R,1.6629,0.1212,R,1.6429,0.0757,R,1.6641166257024298,0.15632900093277036,R,False,False,0.0012166257024297522,True,True,True,True
mol_021_E,R,1.6533,0.2131,R,1.6033,0.027,R,1.6693122968338443,0.06873078395128279,R,False,False,0.01601229683384431,True,True,True,True
mol_022_E,R,1.6497,0.1116,R,1.6497,0.1206,R,1.658996232966854,0.2090221217233102,R,False,False,0.009296232966854001,True,True,True,True
mol_023_E,R,1.594,0.0198,R,,,F,1.5816698777341873,0.06579565443842089,R,False,False,0.01233012226581276,False,True,False,True
mol_024_E,R,1.6537,0.1393,R,1.6537,0.0714,R,1.666637286073725,0.14050582260449618,R,False,False,0.01293728607372513,True,True,True,True
mol_025_E,R,1.6512,0.095,R,1.6512,0.1161,R,1.6815890088613177,0.02063366274855083,R,False,False,0.03038900886131768,True,True,True,True
mol_026_E,R,1.6492,0.0529,R,1.6492,0.1658,R,1.6600976580322735,0.05529256923531878,R,False,False,0.010897658032273494,True,True,True,True
mol_027_E,R,1.6994,0.0517,R,1.6494,0.1448,R,1.6996707554466677,0.010659664848689077,R,False,False,0.0002707554466676587,True,True,True,True
mol_028_E,R,1.6668,0.0533,R,1.6168,0.1668,R,1.6310656550922218,0.10937527749486886,R,False,False,0.03573434490777827,True,True,True,True
mol_029_Z,R,1.6566,0.2118,R,1.6566,0.0606,R,1.6711592717508343,0.07484110949288708,R,False,False,0.014559271750834268,True,True,True,True
mol_030_E,R,1.6564,0.1765,R,1.6064,0.0456,R,1.684838300890467,0.0051082030585426486,R,False,False,0.02843830089046695,True,True,True,True
mol_031_E,R,1.6511,0.0962,R,1.6511,0.1227,R,1.6601504263017877,0.08933438712549518,R,False,False,0.00905042630178765,True,True,True,True
mol_032_E,R,1.6982,0.033,R,1.6482,0.1867,R,1.6644280474007402,0.04358977761719207,R,False,False,0.03377195259925969,True,True,True,True
mol_033_E,R,1.6487,0.0377,R,1.6487,0.181,R,1.6620274703644247,0.04067132804175033,R,False,False,0.01332747036442461,True,True,True,True
mol_034_E,R,1.669,0.0678,R,1.629,0.0954,R,1.6669506902496287,0.07328511631709822,R,False,False,0.00204930975037132,True,True,True,True
