mol,n_points,minimum_found,R_star,depth,predicted,exp_outcome,agreement
mol_001_E,6,True,1.6596,0.0052,R,F,no
mol_002_E,7,True,1.6592,0.0164,R,F,no
mol_003_E,6,True,1.6678,0.0078,R,F,no
mol_004_E,6,False,,,F,F,yes
mol_005_E,6,False,,,F,F,yes
mol_006_E,7,True,1.6608,0.1010,R,R,yes
mol_007_E,6,False,,,F,F,yes
mol_008_E,6,True,1.5977,0.0062,R,F,no
mol_009_E,6,True,1.6603,0.0192,R,R,yes
mol_010_E,6,False,,,F,F,yes
mol_011_E,6,False,,,F,F,yes
mol_012_E,6,True,1.6989,0.0031,R,F,no
mol_013_E,6,True,1.6664,0.0065,R,R,yes
mol_014_Z,7,True,1.7034,0.0439,R,F,no
mol_015_E,6,False,,,F,R,no
mol_016_E,6,True,1.6573,0.1435,R,F,no
mol_017_E,6,False,,,F,F,yes
mol_018_E,6,True,1.6480,0.0331,R,F,no
mol_019_E,6,True,1.6505,0.0928,R,R,yes
mol_020_E,13,True,1.6629,0.1212,R,R,yes
mol_021_E,7,True,1.6533,0.2131,R,R,yes
mol_022_E,6,True,1.6497,0.1116,R,R,yes
mol_023_E,6,True,1.5940,0.0198,R,R,yes
mol_024_E,6,True,1.6537,0.1393,R,R,yes
mol_025_E,6,True,1.6512,0.0950,R,R,yes
mol_026_E,6,True,1.6492,0.0529,R,R,yes
mol_027_E,6,True,1.6994,0.0517,R,R,yes
mol_028_E,6,True,1.6668,0.0533,R,R,yes
mol_029_Z,7,True,1.6566,0.2118,R,R,yes
mol_030_E,6,True,1.6564,0.1765,R,R,yes
mol_031_E,6,True,1.6511,0.0962,R,R,yes
mol_032_E,6,True,1.6982,0.0330,R,R,yes
mol_033_E,6,True,1.6487,0.0377,R,R,yes
mol_034_E,12,True,1.6690,0.0678,R,R,yes
