mol,exp,NBO,PySCF,NBO_correct,PySCF_correct,NBO_PySCF_match,NBO_minimum_found,PySCF_minimum_found,n_points,R_star,R_depth
mol_002_E,F,R,R,no,no,yes,True,True,7,1.6592,0.0019
mol_006_E,R,R,F,yes,no,no,True,False,7,,
mol_014_Z,F,R,R,no,no,yes,True,True,7,1.6534,0.0972
mol_020_E,R,R,R,yes,yes,yes,True,True,13,1.6429,0.0757
mol_021_E,R,R,R,yes,yes,yes,True,True,7,1.6033,0.0270
mol_029_Z,R,R,R,yes,yes,yes,True,True,7,1.6566,0.0606
mol_001_E,F,R,R,no,no,yes,True,True,6,1.6596,0.0091
mol_003_E,F,R,R,no,no,yes,True,True,6,1.6278,0.0006
mol_004_E,F,F,F,yes,yes,yes,False,False,6,,
mol_007_E,F,F,F,yes,yes,yes,False,False,6,,
mol_008_E,F,R,R,no,no,yes,True,True,6,1.7477,0.1366
mol_010_E,F,F,F,yes,yes,yes,False,False,6,,
mol_011_E,F,F,R,yes,no,no,False,True,6,1.6567,0.0616
mol_012_E,F,R,R,no,no,yes,True,True,6,1.6489,0.0491
mol_016_E,F,R,F,no,yes,no,True,False,6,,
mol_017_E,F,F,F,yes,yes,yes,False,False,6,,
mol_018_E,F,R,F,no,yes,no,True,False,6,,
