mol,stage,channel,R_NO,MO_index,epsilon_i_star,coefficient,weight,delta_lumo,in_window
mol_002_E,nbo,cn,1.5092,48,-0.00029,-0.66,0.43560000000000004,0.0,True
mol_002_E,nbo,17,1.5092,124,0.50101,-0.415,0.172225,0.5013,False
mol_002_E,nbo,78,1.5092,118,0.4376,0.322,0.10368400000000001,0.43789,False
mol_002_E,scan_1,cn,1.5092,48,-0.00029,-0.66,0.43560000000000004,0.0,True
mol_002_E,scan_1,17,1.5092,124,0.50101,-0.415,0.172225,0.5013,False
mol_002_E,scan_1,78,1.5092,118,0.4376,0.322,0.10368400000000001,0.43789,False
mol_002_E,scan_2,cn,1.9092,49,-0.00549,-0.666,0.44355600000000006,0.06717,True
mol_002_E,scan_2,17,1.9092,122,0.4881,0.352,0.12390399999999999,0.56076,False
mol_002_E,scan_2,78,1.9092,84,0.24695,-0.33,0.10890000000000001,0.31961,True
mol_002_E,sp2,cn,1.6092,48,-0.00159,-0.662,0.438244,0.0,True
mol_002_E,sp2,17,1.6092,124,0.49946,-0.294,0.08643599999999999,0.50105,False
mol_002_E,sp2,78,1.6092,118,0.43693,-0.314,0.098596,0.43852,False
mol_002_E,sp3,cn,1.7092,49,-0.00291,-0.663,0.43956900000000004,0.01888,True
mol_002_E,sp3,17,1.7092,122,0.48864,0.279,0.07784100000000002,0.51043,False
mol_002_E,sp3,78,1.7092,118,0.43611,-0.304,0.092416,0.4579,False
mol_002_E,sp4,cn,1.8092,49,-0.00434,-0.665,0.44222500000000003,0.04592,True
mol_002_E,sp4,17,1.8092,122,0.48876,0.344,0.11833599999999998,0.53902,False
mol_002_E,sp4,78,1.8092,84,0.24812,-0.317,0.10048900000000001,0.29838,True
mol_006_E,nbo,cn,1.5108,44,-0.00444,0.65,0.42250000000000004,0.0,True
mol_006_E,nbo,17,1.5108,115,0.49498,0.377,0.142129,0.49942,False
mol_006_E,nbo,78,1.5108,104,0.37661,-0.304,0.092416,0.38105,True
mol_006_E,scan_1,cn,1.5108,44,-0.00444,0.65,0.42250000000000004,0.0,True
mol_006_E,scan_1,17,1.5108,115,0.49498,0.377,0.142129,0.49942,False
mol_006_E,scan_1,78,1.5108,104,0.3766,-0.304,0.092416,0.38104,True
mol_006_E,scan_2,cn,1.9108,45,-0.00944,-0.656,0.43033600000000005,0.06499,True
mol_006_E,scan_2,17,1.9108,112,0.46947,-0.328,0.10758400000000001,0.5439,False
mol_006_E,scan_2,78,1.9108,103,0.36592,-0.298,0.088804,0.44035,False
mol_006_E,sp2,cn,1.6108,44,-0.00571,-0.653,0.42640900000000004,0.0,True
mol_006_E,sp2,17,1.6108,115,0.49542,0.331,0.109561,0.50113,False
mol_006_E,sp2,78,1.6108,104,0.37465,0.32,0.1024,0.38036,True
mol_006_E,sp3,cn,1.7108,45,-0.00706,-0.654,0.42771600000000004,0.01632,True
mol_006_E,sp3,17,1.7108,112,0.47407,-0.326,0.10627600000000001,0.49745,False
mol_006_E,sp3,78,1.7108,104,0.37294,0.317,0.10048900000000001,0.39632,True
mol_006_E,sp4,cn,1.8108,45,-0.00839,-0.655,0.42902500000000005,0.04375,True
mol_006_E,sp4,17,1.8108,114,0.48533,0.333,0.11088900000000002,0.53747,False
mol_006_E,sp4,78,1.8108,111,0.4387,0.299,0.089401,0.49084,False
mol_014_Z,nbo,cn,1.5034,44,-0.01233,-0.649,0.42120100000000005,0.0,True
mol_014_Z,nbo,17,1.5034,93,0.32782,-0.283,0.08008899999999998,0.34015,True
mol_014_Z,nbo,78,1.5034,108,0.44797,-0.281,0.07896100000000002,0.4603,False
mol_014_Z,scan_1,cn,1.5034,44,-0.01233,-0.649,0.42120100000000005,0.0,True
