mol,stage,r_no,lambda,log_lambda,w17max,w17max_mo,w17max_delta_lumo,w17max_in_window,w78max,w78max_mo,w78max_delta_lumo,w78max_in_window,wcnmax,wcnmax_mo,wcnmax_delta_lumo,wcnmax_in_window,max_leading_weight,max_leading_weight_mo,n_virtual_mos_in_window
mol_002_E,nbo,1.5092,0.6020264189287271,-0.2203844500325235,0.172225,124,0.5013,False,0.10368400000000001,118,0.43789,False,0.43560000000000004,48,0.0,True,0.45697600000000005,50,66
mol_002_E,scan_1,1.5092,0.6020264189287271,-0.2203844500325235,0.172225,124,0.5013,False,0.10368400000000001,118,0.43789,False,0.43560000000000004,48,0.0,True,0.45697600000000005,50,66
mol_002_E,scan_2,1.9092,0.8789062500000002,-0.05605744720048697,0.12390399999999999,122,0.56076,False,0.10890000000000001,84,0.31961,True,0.44355600000000006,49,0.06717,True,0.8464,48,53
mol_002_E,sp2,1.6092,1.140682123189412,0.05716463532211534,0.08643599999999999,124,0.50105,False,0.098596,118,0.43852,False,0.438244,48,0.0,True,0.7744,49,66
mol_002_E,sp3,1.7092,1.1872406572371883,0.07453876067031226,0.07784100000000002,122,0.51043,False,0.092416,118,0.4579,False,0.43956900000000004,49,0.01888,True,0.835396,48,64
mol_002_E,sp4,1.8092,0.8491836803677666,-0.07099836070755712,0.11833599999999998,122,0.53902,False,0.10048900000000001,84,0.29838,True,0.44222500000000003,49,0.04592,True,0.8500840000000001,48,58
mol_006_E,nbo,1.5108,0.650226202956469,-0.18693553319407827,0.142129,115,0.49942,False,0.092416,104,0.38105,True,0.42250000000000004,44,0.0,True,0.47748099999999993,46,63
mol_006_E,scan_1,1.5108,0.650226202956469,-0.18693553319407827,0.142129,115,0.49942,False,0.092416,104,0.38104,True,0.42250000000000004,44,0.0,True,0.47748099999999993,46,63
mol_006_E,scan_2,1.9108,0.8254387269482449,-0.08331515927084777,0.10758400000000001,112,0.5439,False,0.088804,103,0.44035,False,0.43033600000000005,45,0.06499,True,0.8445610000000001,44,52
mol_006_E,sp2,1.6108,0.9346391507927091,-0.02935603091162552,0.109561,115,0.50113,False,0.1024,104,0.38036,True,0.42640900000000004,44,0.0,True,0.7779240000000001,45,63
mol_006_E,sp3,1.7108,0.9455474425081862,-0.024316675700375018,0.10627600000000001,112,0.49745,False,0.10048900000000001,104,0.39632,True,0.42771600000000004,45,0.01632,True,0.8372250000000001,44,61
mol_006_E,sp4,1.8108,0.8062206350494637,-0.09354609036378053,0.11088900000000002,114,0.53747,False,0.089401,111,0.49084,False,0.42902500000000005,45,0.04375,True,0.848241,44,56
mol_014_Z,nbo,1.5034,0.98591566881844,-0.006160231238420481,0.08008899999999998,93,0.34015,True,0.07896100000000002,108,0.4603,False,0.42120100000000005,44,0.0,True,0.45158400000000004,46,59
mol_014_Z,scan_1,1.5034,0.98591566881844,-0.006160231238420481,0.08008899999999998,93,0.34015,True,0.07896100000000002,108,0.4603,False,0.42120100000000005,44,0.0,True,0.45158400000000004,46,59
mol_014_Z,scan_2,1.9034,0.42662393847139873,-0.3699547793264602,0.15602500000000002,106,0.50289,False,0.066564,107,0.50522,False,0.417316,45,0.05147,True,0.819025,44,51
mol_014_Z,sp2,1.6034,0.8525444444444447,-0.06928297131042765,0.09,93,0.34029,True,0.07672900000000002,107,0.45814,False,0.419904,44,0.0,True,0.772641,45,59
mol_014_Z,sp3,1.7034,0.8205536346770115,-0.08589302645369332,0.094864,106,0.45931,False,0.07784100000000002,107,0.46343,False,0.361201,45,0.00876,True,0.725904,44,58
mol_014_Z,sp4,1.8034,0.5655039999999999,-0.2475643188167156,0.140625,106,0.48361,False,0.07952399999999998,107,0.48769,False,0.418609,45,0.03225,True,0.831744,44,54
mol_020_E,nbo,1.5029,0.5121730294672666,-0.29058329478976075,0.172225,126,0.48589,False,0.088209,117,0.40002,False,0.45024100000000006,48,0.0,True,0.45024100000000006,48,69
mol_020_E,sp2,1.6029,0.33866317612741975,-0.4702320229422717,0.17724099999999998,126,0.48539,False,0.060024999999999995,117,0.40023,False,0.43428100000000003,48,0.0,True,0.7224999999999999,49,69
