mol,stage,r_no,donor,acceptor,e2_kcal,de_au,f_au
mol_002_E,nbo,1.5092,LP ( 1) O 2,BD*( 1) C 1- H 14,3.23,1.07,0.053
mol_002_E,nbo,1.5092,LP ( 1) O 2,BD*( 1) C 1- H 15,0.79,1.06,0.026
mol_002_E,nbo,1.5092,LP ( 1) O 2,BD*( 1) C 1- H 16,0.79,1.06,0.026
mol_002_E,nbo,1.5092,LP ( 1) O 2,BD*( 1) C 3- C 4,1.28,1.2,0.035
mol_002_E,nbo,1.5092,LP ( 1) O 2,BD*( 1) C 3- C 8,7.6,1.22,0.086
mol_002_E,nbo,1.5092,LP ( 1) O 2,RY ( 1) C 1,2.13,2.17,0.061
mol_002_E,nbo,1.5092,LP ( 1) O 2,RY ( 1) C 3,3.05,2.01,0.07
mol_002_E,nbo,1.5092,LP ( 2) O 2,BD*( 1) C 1- H 15,6.39,0.88,0.067
mol_002_E,nbo,1.5092,LP ( 2) O 2,BD*( 1) C 1- H 16,6.45,0.88,0.067
mol_002_E,nbo,1.5092,LP ( 2) O 2,BD*( 2) C 3- C 8,47.86,0.47,0.134
mol_002_E,nbo,1.5092,LP ( 2) O 2,RY ( 3) C 1,1.6,2.0,0.05
mol_002_E,nbo,1.5092,LP ( 2) O 2,RY ( 3) C 3,2.63,2.03,0.065
mol_002_E,nbo,1.5092,LP ( 1) N 12,BD*( 1) C 10- C 11,8.14,1.01,0.081
mol_002_E,nbo,1.5092,LP ( 1) N 12,RY ( 1) C 11,6.45,1.75,0.095
mol_002_E,nbo,1.5092,LP ( 1) N 12,RY ( 7) N 12,0.56,2.1,0.031
mol_002_E,nbo,1.5092,LP ( 1) N 12,RY ( 9) N 12,0.81,4.87,0.056
mol_002_E,nbo,1.5092,LP ( 1) N 12,RY (11) N 12,0.57,3.32,0.039
mol_002_E,nbo,1.5092,LP ( 1) N 12,RY (13) N 12,0.92,13.72,0.1
mol_002_E,nbo,1.5092,LP ( 1) N 12,RY (16) N 12,0.58,11.08,0.071
mol_002_E,nbo,1.5092,LP ( 1) N 12,RY (17) N 12,0.56,4.68,0.046
mol_002_E,nbo,1.5092,LP ( 1) N 12,RY ( 3) O 13,0.54,2.43,0.032
mol_002_E,nbo,1.5092,LP ( 1) O 13,BD*( 1) C 6- C 11,1.19,1.21,0.034
mol_002_E,nbo,1.5092,LP ( 1) O 13,BD*( 1) C 9- C 10,0.72,1.09,0.025
mol_002_E,nbo,1.5092,LP ( 1) O 13,RY ( 3) N 12,0.52,2.13,0.03
mol_002_E,nbo,1.5092,LP ( 1) O 13,RY ( 1) H 24,1.24,2.64,0.051
mol_002_E,nbo,1.5092,LP ( 1) O 13,RY ( 1) H 25,1.24,2.59,0.051
mol_002_E,nbo,1.5092,BD ( 1) C 1- O 2,BD*( 1) C 3- C 4,2.82,1.45,0.057
mol_002_E,nbo,1.5092,BD ( 1) C 1- O 2,RY ( 2) C 3,2.3,2.5,0.068
mol_002_E,nbo,1.5092,BD ( 1) C 1- H 14,BD*( 1) O 2- C 3,3.43,1.04,0.053
mol_002_E,nbo,1.5092,BD ( 1) C 1- H 15,RY ( 2) O 2,0.79,1.22,0.028
mol_002_E,nbo,1.5092,BD ( 1) C 1- H 16,RY ( 2) O 2,0.57,1.22,0.024
