point,R_NO,MO,E_au,w_CC,w_CN,w_target,rank,in_top2
s1,1.55,33,0.04779,0,0.7797,0.7797,1,True
s1,1.55,35,0.10259,0.1552,0.3036,0.4588,2,True
s1,1.55,32,-0.00398,0,0.457,0.457,3,False
s1,1.55,57,0.37458,0.1063,0.0506,0.1569,4,False
s2,1.7,32,-0.00951,0,0.8154,0.8154,1,True
s2,1.7,35,0.10039,0.1584,0.3036,0.462,2,True
s2,1.7,33,-0.00585,0,0.4382,0.4382,3,False
s2,1.7,38,0.21174,0.1482,0,0.1482,4,False
s3,1.75,32,-0.0249,0,0.8612,0.8612,1,True
s3,1.75,35,0.09966,0.1592,0.3036,0.4628,2,True
s3,1.75,33,-0.00666,0,0.461,0.461,3,False
s3,1.75,38,0.21117,0.1467,0,0.1467,4,False
s4,1.8,32,-0.03881,0,0.8649,0.8649,1,True
s4,1.8,33,-0.0073,0.1197,0.4624,0.5821,2,True
s4,1.8,35,0.09896,0.0729,0.3036,0.3765,3,False
s4,1.8,38,0.2106,0.2209,0,0.2209,4,False
